time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-08-20T01:26:34.871Z,14.7851,-92.256,91.81,4.2,mb,,171,1.492,1.19,us,us6000f8kf,2021-08-20T02:16:54.615Z,"2 km SSW of Guadalupe Victoria, Mexico",earthquake,8,9.9,0.055,95,reviewed,us,us
2021-08-13T19:52:23.852Z,14.1729,-91.2048,104.24,4.1,mb,,171,1.781,0.6,us,us6000f5um,2021-08-13T22:11:11.040Z,"10 km ESE of Nueva Concepción, Guatemala",earthquake,8.4,20.1,0.302,3,reviewed,us,us
2021-07-13T08:29:05.744Z,14.2377,-92.0723,49.24,4.6,mb,,130,0.691,1.29,us,us7000elgr,2021-08-06T00:32:06.040Z,"18 km WSW of Champerico, Guatemala",earthquake,2.8,7.2,0.027,420,reviewed,us,us
2021-06-25T00:49:07.695Z,13.9003,-91.7011,35,4.2,mb,,220,1.365,0.61,us,us6000er26,2021-08-28T20:26:35.040Z,"49 km SSE of Champerico, Guatemala",earthquake,12.2,13.6,0.086,38,reviewed,us,us
2021-06-24T20:02:21.461Z,13.868,-91.5891,35,4.6,mb,,174,2.581,0.9,us,us6000epg5,2021-08-27T18:58:56.040Z,"48 km SW of Nueva Concepción, Guatemala",earthquake,10.3,2,0.038,213,reviewed,us,us
2021-06-13T23:08:13.433Z,14.1724,-91.4242,64,4.2,mb,,149,1.986,1.24,us,us7000ectp,2021-08-26T21:59:16.040Z,"13 km WSW of Nueva Concepción, Guatemala",earthquake,7.1,10.3,0.113,23,reviewed,us,us
2021-06-13T02:58:15.452Z,14.0489,-91.4442,57.65,5.4,mww,,125,1.166,1.39,us,us7000eckp,2021-08-26T21:59:13.040Z,"22 km SW of Nueva Concepción, Guatemala",earthquake,7,4.5,0.044,49,reviewed,us,us
2021-06-12T02:45:39.114Z,14.0917,-91.6523,70.53,4,mb,,165,2.183,1.05,us,us7000ec9l,2021-08-26T21:59:07.040Z,"35 km SE of Champerico, Guatemala",earthquake,9.1,3.7,0.079,43,reviewed,us,us
2021-06-10T20:18:04.188Z,14.0039,-91.5956,70.6,4.2,mb,,192,2.114,1.16,us,us7000ebv3,2021-08-24T21:33:24.040Z,"38 km SW of Nueva Concepción, Guatemala",earthquake,8.6,11.1,0.108,24,reviewed,us,us
2021-06-07T03:00:17.956Z,14.012,-91.3455,78.92,4.1,mb,,178,1.876,0.81,us,us7000eall,2021-08-24T21:34:40.040Z,"21 km SSW of Nueva Concepción, Guatemala",earthquake,9.2,12.2,0.094,31,reviewed,us,us
2021-05-17T15:08:56.093Z,14.4714,-91.4686,97.48,4.2,mb,,157,0.225,0.94,us,us7000e3u0,2021-07-24T21:07:39.040Z,"1 km ESE of Santo Domingo Suchitepéquez, Guatemala",earthquake,8.4,2.9,0.078,45,reviewed,us,us
2021-05-10T10:13:42.890Z,14.1027,-91.9065,54.23,4.3,mb,,97,0.466,1.24,us,us7000e1s2,2021-07-23T18:08:28.040Z,"21 km S of Champerico, Guatemala",earthquake,6,7.1,0.067,63,reviewed,us,us
2021-05-02T05:54:19.203Z,14.0764,-91.7408,52.4,4.6,mb,,157,0.447,0.64,us,us7000dzf3,2021-07-10T20:14:57.040Z,"30 km SE of Champerico, Guatemala",earthquake,7.3,7,0.03,321,reviewed,us,us
